,distance,width,movement_time
997,60,18,578
3959,40,10,497
4505,160,20,592
1033,75,8,768
1169,75,14,561
1649,210,14,675
4028,120,20,546
3606,75,6,918
4137,40,14,401
1348,160,18,746
64,120,8,1187
2262,210,8,696
921,40,6,496
695,60,18,796
1490,210,8,826
4658,210,8,1033
1927,75,20,431
3737,60,14,565
2177,40,18,353
3493,60,8,1079
833,120,20,758
6139,60,18,696
2765,75,8,679
5090,160,10,911
4068,60,14,423
2971,60,8,786
3209,60,18,458
441,40,6,1005
3283,120,8,792
6148,60,18,482
1443,60,10,520
4460,75,20,403
1206,60,18,490
2060,60,6,729
4892,40,14,405
4354,210,14,871
5374,75,18,408
4512,210,6,1135
4612,60,6,584
6137,210,20,744
1532,60,20,423
6143,60,18,471
1854,60,8,456
5167,40,10,572
3998,40,8,504
5948,210,10,826
29,160,10,983
4848,160,8,928
2436,210,10,973
5870,40,20,439
123,160,18,661
3361,60,20,368
6132,210,20,712
3227,160,14,624
2699,60,6,912
5437,60,10,374
1936,75,20,601
1746,75,6,591
5206,160,14,744
2843,60,6,917
2731,210,8,1121
5621,60,14,466
5248,60,6,637
988,60,18,456
5838,75,14,498
2338,60,14,506
4456,160,6,986
5350,75,6,608
1136,40,20,474
2304,60,8,559
1361,210,6,1262
2920,160,18,770
5059,160,6,736
4917,75,10,647
1998,160,20,840
3770,75,20,595
3858,210,10,1207
2243,75,18,414
3545,120,6,1312
3994,40,8,519
5502,75,20,441
4250,60,8,568
5114,210,6,864
1020,160,6,1024
3100,75,18,424
6039,75,8,1121
22,160,10,1030
1906,75,20,382
2206,60,10,512
3444,40,14,615
104,75,6,710
2331,120,18,577
581,75,6,792
4057,75,10,688
5586,160,14,456
3452,40,14,371
417,75,8,1002
5324,40,14,432
3060,75,14,733
3130,40,8,507
2488,120,10,960
1510,160,8,815
2516,60,18,474
3678,40,20,627
857,160,10,1024
5485,75,8,528
4416,40,20,464
2638,160,20,722
4006,160,14,844
719,75,10,785
1024,160,20,721
1594,210,8,773
3183,210,20,913
5497,75,20,443
4604,75,14,552
512,40,18,544
3115,120,14,617
1847,60,8,360
232,60,20,441
2868,120,14,657
2501,60,10,675
5404,120,18,753
4760,120,20,640
435,40,6,723
3168,75,6,690
2195,160,6,847
4415,120,20,592
1192,60,20,511
6004,120,8,1400
467,120,10,830
3395,120,20,418
1659,75,14,458
5493,75,20,422
5822,210,8,1090
4037,60,6,590
4009,75,14,486
3717,160,6,888
1184,40,18,416
3539,120,6,910
1337,40,10,481
5402,120,18,400
5745,40,8,344
2610,60,20,470
1149,160,14,895
4669,160,6,830
1347,160,18,758
3798,40,14,594
5300,210,20,688
3267,60,6,564
4445,60,10,475
1406,160,6,983
6101,40,10,493
2211,60,10,537
888,120,6,1114
3237,40,6,554
4721,40,10,586
4823,75,20,504
3483,210,10,769
1392,40,14,494
501,160,8,952
556,160,6,1598
3865,210,10,746
3362,60,20,335
3261,210,6,1279
2776,120,10,1059
5134,160,18,499
6017,120,18,663
5678,160,20,470
3212,60,18,653
4183,60,10,416
1434,210,10,910
5715,120,6,601
1971,75,14,744
249,40,20,409
1211,60,18,600
453,60,14,725
4998,40,6,570
849,160,8,943
5891,160,18,897
1949,60,18,814
2998,120,6,818
3713,160,6,961
4418,40,20,324
6125,160,14,1008
1200,60,6,665
840,60,20,872
1808,210,6,903
4788,75,14,512
4027,120,20,618
3810,160,10,648
2543,120,14,872
3594,60,8,902
4075,210,20,733
3121,120,10,989
1682,160,10,696
290,40,10,496
2073,120,14,967
2881,120,8,782
2256,210,8,992
4239,40,6,519
5409,120,18,497
5888,160,18,793
4471,40,14,368
15,75,14,704
1673,210,20,639
1528,120,10,646
4745,120,14,605
1539,60,20,479
1734,60,18,438
996,60,18,415
3400,120,20,442
3756,160,14,1071
995,60,18,468
3559,40,8,1223
2796,60,14,675
2914,160,18,682
2853,160,10,1092
3794,75,18,520
1059,75,18,641
4889,40,14,420
4313,60,14,510
4740,120,14,784
2057,60,6,1082
3772,75,20,616
5351,75,6,784
3307,40,20,215
4352,120,6,839
33,160,10,989
2481,120,10,914
935,75,20,551
3436,75,8,831
5314,120,14,656
4307,60,18,518
5191,40,8,553
2156,40,14,456
4078,210,20,665
834,120,20,747
2343,60,14,497
1660,75,14,624
3336,75,10,767
1763,60,14,329
5648,60,20,264
1800,120,14,480
1642,40,6,440
2354,75,8,659
699,60,18,640
3625,60,6,847
5719,120,6,552
3039,160,20,783
1246,160,20,657
4784,75,14,559
2078,120,14,919
1006,210,6,1171
5101,60,8,562
2030,160,14,1096
5440,60,10,472
2860,160,10,1746
876,120,8,1083
5633,120,18,520
1861,60,8,530
1073,160,18,717
2450,75,18,669
3808,160,10,912
3440,75,8,711
560,160,6,1200
3124,120,10,848
748,160,14,942
4562,75,10,600
3218,160,6,997
1049,40,10,712
5224,75,20,396
279,210,18,720
672,160,20,863
51,75,20,702
371,120,14,714
3883,210,6,843
1487,210,8,1104
983,210,8,952
4277,40,18,689
2355,75,8,888
275,210,18,809
666,160,20,874
2502,40,14,522
818,75,6,986
489,75,18,647
2972,60,8,914
853,160,8,1088
2371,210,20,843
1449,120,20,602
403,40,20,681
6154,60,20,481
4863,60,6,602
1710,40,14,432
3568,40,8,590
3414,120,18,646
1427,210,10,925
2734,210,8,1044
4104,60,18,463
3026,40,20,462
1609,60,10,528
5546,120,8,678
2915,160,18,717
1698,160,18,586
5521,120,20,527
225,160,14,783
106,75,6,1008
5020,75,8,784
174,40,6,616
5806,120,14,793
2351,75,8,647
2427,75,14,642
1823,120,8,609
2933,40,18,466
3627,60,6,928
2919,160,18,624
3797,75,18,645
1414,210,18,949
344,120,20,720
2665,40,18,341
5819,210,8,1394
4371,75,6,736
4665,160,6,890
124,160,18,707
5197,40,8,512
663,160,20,1010
991,60,18,537
141,75,8,929
5392,40,18,311
5709,210,18,558
4836,75,6,654
1606,60,10,662
5359,210,18,782
1106,210,10,953
4446,160,6,1167
2341,60,14,703
1875,160,14,628
3065,75,14,770
3765,75,10,584
5325,40,14,393
1091,120,14,602
3833,120,14,685
2713,60,8,967
1379,160,10,712
3591,60,8,594
3655,40,18,615
2906,60,10,820
1572,120,18,552
4847,160,8,866
3646,75,8,1019
2857,160,10,894
1916,75,20,467
2132,120,10,887
4846,160,8,941
2076,120,14,930
743,60,20,648
1914,75,20,279
4472,40,14,350
2895,60,20,547
3826,120,10,712
210,210,6,984
3376,160,20,664
775,120,18,935
5676,160,20,558
625,60,6,1103
5111,210,6,931
3408,160,18,544
3050,75,20,560
705,40,10,727
5198,40,8,415
4492,160,8,933
2006,160,20,737
2722,160,14,799
4274,40,18,544
107,160,20,808
5594,160,14,522
4635,60,10,712
1541,60,20,462
230,60,20,472
3289,160,8,720
2952,40,10,735
3386,160,20,689
4443,60,10,496
4772,60,14,589
843,60,20,654
1715,40,14,440
5694,120,10,480
2648,120,6,1024
6169,160,10,944
4063,75,10,521
5733,40,18,266
1991,160,8,1353
3613,40,10,513
4850,160,8,978
4335,120,10,737
5577,210,10,775
2690,75,10,616
70,60,14,710
3673,75,14,880
1483,75,18,538
4660,160,6,879
5142,160,18,496
984,210,8,887
3787,210,18,777
2383,160,8,926
4686,60,18,521
5752,75,14,392
2816,210,18,930
4698,60,8,656
1195,60,6,696
3757,160,14,888
119,160,18,792
4817,210,14,769
4934,60,20,440
2302,60,8,506
4514,210,6,1264
5143,160,18,528
3342,75,10,600
825,120,20,1015
3407,160,18,751
5038,160,20,656
2088,120,20,713
2120,120,6,1129
3457,75,14,449
3396,120,20,591
5753,75,14,336
5736,40,18,224
5950,210,10,1055
970,60,6,521
5076,60,10,503
