,distance,width,movement_time
4545,160,10,871
413,75,8,896
5348,75,6,511
1191,60,20,531
2208,60,10,490
6109,40,10,558
4323,120,14,736
3973,120,10,676
1999,160,20,719
98,75,6,817
5673,210,6,793
2477,40,10,478
4367,75,6,1145
4507,160,20,664
2080,120,14,887
1733,60,18,366
986,210,8,1167
2140,60,20,434
5684,160,20,712
906,40,20,441
4376,210,18,727
1117,210,14,815
6162,160,10,1096
3397,120,20,392
4726,40,10,602
1252,75,8,576
554,160,6,1527
1063,75,18,636
3723,120,8,1024
4931,60,20,416
4195,120,18,616
1536,60,20,366
1011,160,6,1113
5808,120,14,1136
1902,75,10,489
1604,60,10,527
4733,120,10,726
5791,210,8,632
3461,75,14,510
3166,75,6,808
192,160,8,952
1587,120,20,586
1841,160,6,704
3788,75,18,607
1261,210,14,1105
1982,160,10,856
3901,60,20,518
3696,60,18,632
3555,210,10,1172
2599,75,6,782
5590,160,14,506
4873,160,18,625
4112,40,20,391
431,60,10,1063
2098,75,6,1354
4400,40,8,560
6028,60,6,953
2926,40,18,526
2608,60,20,465
3107,120,14,560
3704,120,20,661
496,160,8,1047
2217,75,10,911
3349,210,18,711
397,210,10,1171
2380,160,8,810
3119,120,10,1354
60,120,8,1231
4364,75,6,975
4663,160,6,961
1508,160,8,997
5378,40,20,323
2689,75,10,720
100,75,6,771
1577,75,18,507
2535,120,18,568
1940,40,20,417
3102,75,18,390
2467,210,18,807
1989,160,8,997
3683,40,20,645
79,120,6,959
4123,120,14,576
5672,210,6,775
1381,160,10,754
1850,60,8,397
3554,210,10,1057
251,40,20,450
2905,60,10,831
3512,160,8,1152
3433,75,8,543
252,40,20,417
5475,60,6,489
2706,60,6,848
1797,120,14,477
2315,120,8,974
723,75,10,780
203,75,10,544
2867,120,14,784
4608,60,6,636
1040,75,8,675
4318,120,14,752
3658,210,6,1288
717,75,10,1214
4832,75,6,583
6034,120,6,1000
5934,60,8,673
2028,160,14,746
2356,75,8,704
4197,120,18,512
5758,75,14,434
5213,40,6,453
5355,210,18,1037
815,75,6,1190
813,160,14,891
5716,120,6,534
518,210,20,757
2170,210,6,1050
4589,40,6,479
1602,210,8,1016
5019,75,8,704
297,60,10,497
1828,40,20,237
2404,160,10,841
2579,120,8,808
285,40,10,704
263,210,14,1153
2443,75,18,720
2858,160,10,1108
386,40,8,736
5675,160,20,572
2620,40,20,409
5373,75,18,360
3813,160,10,729
4378,210,18,760
5686,120,10,600
1621,160,20,651
135,120,18,561
5286,75,14,432
1876,160,14,624
2707,60,6,845
3607,75,6,891
5045,120,10,889
4656,210,8,1167
1925,210,20,745
5720,120,6,704
3698,120,20,799
5015,75,8,631
3311,210,14,977
5405,120,18,487
2335,60,14,578
4940,40,20,475
2762,75,8,672
3118,120,14,855
231,60,20,522
3552,210,10,1153
127,120,18,609
3344,210,18,777
3748,160,14,720
4963,210,10,719
5216,40,6,559
5635,120,18,441
5596,40,14,392
2808,40,6,576
4324,120,14,576
1408,160,6,1070
4904,160,20,655
1912,75,20,256
2568,210,8,1112
470,120,10,658
24,160,10,880
5750,40,8,363
1236,75,6,675
1974,160,10,1073
3680,40,20,595
2230,40,10,395
3851,210,14,965
5723,120,6,648
627,60,6,891
3500,60,10,1002
1544,210,18,669
739,60,20,543
2985,120,20,834
2800,60,14,543
2126,120,6,878
6047,75,8,1050
5387,40,18,316
4874,160,18,814
2018,40,8,456
3195,60,10,999
390,40,8,552
2827,40,8,541
4309,60,14,537
3031,40,20,466
1281,40,8,759
2142,60,20,418
5162,60,18,391
3427,160,10,789
2032,160,14,1011
6038,120,6,888
2703,60,6,712
1739,75,6,550
652,40,14,844
5280,75,14,402
746,160,14,881
2203,60,10,432
1829,40,20,243
1776,160,8,713
5698,40,20,256
4297,160,14,966
5996,160,8,807
859,160,10,929
2245,75,18,514
215,210,6,837
5303,210,14,675
1076,160,18,687
551,120,14,975
4175,120,6,863
2162,40,14,462
3055,75,20,720
3453,40,14,446
2661,40,18,421
5337,120,20,462
898,40,14,584
4968,210,10,786
3977,210,14,738
1515,160,8,1001
4561,75,10,594
6074,75,18,727
6097,60,14,488
1747,75,6,642
2273,210,18,714
5024,75,8,632
5642,60,20,335
4564,160,18,674
3693,60,18,670
1341,160,18,792
937,75,20,560
3815,160,10,925
575,75,6,931
3447,40,14,493
1204,60,6,685
6036,120,6,922
5692,120,10,476
1388,40,14,482
804,160,14,1102
2231,40,10,414
1128,75,14,874
5439,60,10,574
4869,160,18,560
3443,40,14,512
1356,60,14,535
3325,210,8,973
1905,75,10,482
5385,40,20,338
4338,120,6,695
3965,120,10,944
3517,160,8,1112
4684,60,18,576
5861,160,6,1103
661,210,14,865
1676,160,10,642
4706,120,8,694
4929,210,6,1000
337,120,20,696
1818,120,8,553
3328,210,8,1256
890,120,6,975
4840,160,8,1213
2438,210,10,1129
474,120,20,930
4450,160,6,730
3279,120,8,633
1431,210,10,825
2709,60,6,775
1820,120,8,527
3777,75,20,512
3672,75,14,767
3644,75,8,1111
3380,160,20,651
2717,60,8,570
4113,40,20,393
5193,40,8,470
756,40,8,720
4912,75,10,553
5563,160,8,691
2135,120,10,559
3889,210,6,1057
2478,40,10,582
5674,210,6,880
674,40,8,1018
3282,120,8,902
3535,210,8,1079
5194,40,8,442
5327,40,14,352
5035,160,20,715
3338,75,10,1175
2085,120,20,592
1345,160,18,702
6027,60,6,615
3884,210,6,758
3326,210,8,1234
3230,160,14,659
1014,160,6,825
2855,160,10,2310
1398,40,14,470
4069,60,14,441
4317,60,14,741
4696,60,8,582
1497,75,20,488
120,160,18,792
2413,120,20,781
623,60,6,1280
3111,120,14,665
2212,60,10,527
4484,120,8,833
4644,120,18,736
2556,160,18,893
919,40,6,719
4670,75,18,607
1921,210,20,1120
595,160,10,797
1271,75,10,622
4765,120,20,559
5370,75,18,374
5301,210,20,627
646,40,14,830
4050,210,8,847
4703,120,8,754
3476,210,10,962
2334,60,14,798
3641,75,8,666
4972,210,20,685
82,120,6,1144
6122,160,14,760
2611,60,20,466
3609,40,10,666
4158,160,8,752
5943,120,10,1105
3879,210,6,743
2767,75,8,770
6124,160,14,641
3867,210,10,752
961,60,10,635
5854,160,6,1096
1852,60,8,462
3995,40,8,505
2522,160,6,1162
4613,60,6,614
2083,120,20,595
5805,120,14,992
3922,160,18,689
5628,60,14,423
1480,75,18,536
1686,40,10,497
4607,60,6,1062
4742,120,14,705
5631,120,18,466
3305,40,20,353
4389,210,10,817
2766,75,8,818
824,75,6,1158
5688,120,10,449
311,40,18,414
1391,40,14,495
4731,120,10,866
3293,160,8,639
3327,210,8,1657
5734,40,18,256
5544,120,8,728
2720,160,14,882
3127,120,10,1058
1447,120,20,657
2994,120,6,992
3790,75,18,550
5456,210,14,630
1907,75,20,315
1708,40,14,599
2289,40,6,627
5572,75,6,480
4541,120,18,600
147,75,8,1007
5422,75,10,627
2077,120,14,1192
233,60,20,575
2493,60,10,615
4208,75,18,392
4590,40,6,470
2141,60,20,414
1336,40,10,591
3990,40,8,656
1580,75,18,613
567,120,8,1049
456,60,14,760
2275,210,18,656
5068,60,14,438
6129,160,14,1046
3353,60,20,736
4254,60,8,554
5632,120,18,456
5093,160,10,673
2984,120,20,687
4278,60,20,750
2904,60,10,852
5555,160,8,824
3645,75,8,1207
3565,40,8,735
2604,60,20,544
487,75,18,705
2128,120,6,1042
1249,75,8,720
1656,75,14,639
21,75,14,634
552,120,14,704
3532,210,8,1030
4359,210,14,792
2548,120,14,631
2447,75,18,559
18,75,14,824
2949,40,10,608
4439,60,10,524
4926,210,6,776
3623,60,6,880
580,75,6,1072
5293,210,20,602
2539,120,18,730
1646,210,14,710
5646,60,20,280
1737,60,18,456
516,210,20,828
3259,210,6,993
4232,40,18,566
4935,60,20,432
450,60,8,823
1082,210,20,809
3866,210,10,791
5637,120,18,506
306,40,18,385
537,75,20,609
2647,120,6,745
5779,60,8,421
2677,75,20,490
5593,160,14,623
5410,160,10,1042
827,120,20,776
5336,120,20,489
5627,60,14,368
5746,40,8,416
4486,120,8,824
4056,75,10,661
1868,120,6,744
1950,60,18,657
5094,160,10,711
2965,60,8,623
3260,210,6,1770
5479,60,6,456
3764,75,10,598
3651,40,18,608
2471,40,10,734
4325,120,14,816
4440,60,10,545
2326,120,18,534
5317,120,14,506
3871,160,20,714
5129,210,10,671
493,160,8,912
2465,210,18,734
4310,60,14,487
1258,75,8,736
3478,210,10,1079
1154,40,6,624
3897,60,20,543
3643,75,8,863
2226,75,10,721
5052,160,6,824
5786,60,8,480
5608,160,6,757
2100,75,6,775
5873,75,10,681
2759,160,14,1091
5079,60,10,605
5526,60,18,377
3017,75,10,829
3006,210,6,1331
2297,60,8,753
3937,75,6,504
3398,120,20,556
1047,40,10,552
578,75,6,1104
2445,75,18,609
4791,40,8,752
4165,160,8,663
1109,210,10,894
4022,120,20,681
5704,40,20,277
883,120,8,1139
4223,210,18,743
4690,60,8,743
1253,75,8,608
5835,75,14,727
5936,120,10,990
1566,120,18,646
2463,210,18,832
6067,75,20,566
4333,120,10,728
5399,120,18,633
4020,120,20,512
4042,210,8,878
4023,120,20,469
5472,60,6,480
188,160,8,809
1131,40,20,602
5899,120,20,664
3475,210,10,1014
525,75,14,656
2978,75,6,831
1322,60,8,616
5186,75,10,415
326,75,18,495
697,60,18,720
1166,75,14,670
136,120,18,630
2937,210,10,875
2991,120,20,849
2390,40,8,643
3863,210,10,712
1526,120,10,726
1282,40,8,560
5470,120,14,520
3383,160,20,625
865,210,18,975
5312,120,14,506
530,75,14,599
346,120,10,984
3412,120,18,467
5959,160,20,714
4191,60,10,433
2102,210,10,897
2630,75,8,625
309,40,18,409
5516,120,20,440
80,120,6,857
1547,210,18,625
1134,40,20,433
3181,40,10,495
4971,210,20,619
4543,120,18,690
762,40,8,718
5053,160,6,766
2989,120,20,736
37,210,20,920
2379,160,8,1053
2072,120,14,898
1107,210,10,880
4432,210,20,674
1786,60,6,638
4383,210,18,938
1226,120,8,664
1620,160,20,654
949,60,8,793
1634,75,8,632
1699,160,18,609
5164,60,18,407
4241,40,6,542
2682,75,20,494
1102,210,10,926
2633,75,8,1057
216,160,14,845
4499,160,8,744
4133,75,20,455
5602,40,14,344
1019,160,6,881
4209,75,18,488
2780,120,10,895
2069,120,14,744
4081,210,20,896
600,160,10,904
1692,40,10,639
917,40,6,625
2992,120,20,737
5476,60,6,518
3081,60,18,720
3789,75,18,561
2333,120,18,557
520,210,20,862
513,210,20,805
